,precision,recall,f1-score,support
0,0.7307692307692307,0.48717948717948717,0.5846153846153846,39.0
1,0.900497512437811,0.9627659574468085,0.9305912596401028,188.0
accuracy,0.8810572687224669,0.8810572687224669,0.8810572687224669,0.8810572687224669
macro avg,0.8156333716035209,0.7249727223131478,0.7576033221277437,227.0
weighted avg,0.871337146864795,0.8810572687224669,0.8711504705389398,227.0
